iter	Logloss
0	0.6929629607
1	0.6928105512
2	0.6926843964
3	0.6925792988
4	0.6924976815
5	0.6924278538
6	0.6923733913
7	0.6923343571
8	0.6922938785
9	0.6922667729
10	0.6922399975
11	0.6922217711
12	0.6922061303
13	0.6921915295
14	0.692180278
15	0.6921718925
16	0.692169116
17	0.6921580577
18	0.6921600565
19	0.6921535619
20	0.6921485244
21	0.6921489248
22	0.6921443577
23	0.6921400306
24	0.6921438961
25	0.6921381289
26	0.6921390685
27	0.692137276
28	0.692140083
29	0.6921410932
30	0.6921358209
31	0.6921359011
32	0.6921370438
33	0.6921379658
34	0.6921392098
35	0.6921344026
36	0.6921397056
37	0.6921371128
38	0.6921397264
39	0.6921320491
40	0.6921385654
41	0.6921334177
42	0.6921333128
43	0.6921338669
44	0.6921331172
45	0.692131537
46	0.692131537
47	0.692131537
48	0.692131537
49	0.692131537
50	0.692131537
51	0.692131537
52	0.692131537
53	0.692131537
54	0.692131537
55	0.692131537
56	0.692131537
57	0.692131537
58	0.692131537
59	0.692131537
60	0.692131537
61	0.692131537
62	0.692131537
63	0.692131537
64	0.692131537
65	0.692131537
66	0.692131537
67	0.692131537
68	0.692131537
69	0.692131537
70	0.692131537
71	0.692131537
72	0.692131537
73	0.692131537
74	0.692131537
75	0.692131537
76	0.692131537
77	0.692131537
78	0.692131537
79	0.692131537
80	0.692131537
81	0.692131537
82	0.692131537
83	0.692131537
84	0.692131537
85	0.692131537
86	0.692131537
87	0.692131537
88	0.692131537
89	0.692131537
90	0.692131537
91	0.692131537
92	0.692131537
93	0.692131537
94	0.692131537
95	0.692131537
96	0.692131537
97	0.692131537
98	0.692131537
99	0.692131537
100	0.692131537
101	0.692131537
102	0.692131537
103	0.692131537
104	0.692131537
105	0.692131537
106	0.692131537
107	0.692131537
108	0.692131537
109	0.692131537
110	0.692131537
111	0.692131537
112	0.692131537
113	0.692131537
114	0.692131537
115	0.692131537
116	0.692131537
117	0.692131537
118	0.692131537
119	0.692131537
120	0.692131537
121	0.692131537
122	0.692131537
123	0.692131537
124	0.692131537
125	0.692131537
126	0.692131537
127	0.692131537
128	0.692131537
129	0.692131537
130	0.692131537
131	0.692131537
132	0.692131537
133	0.692131537
134	0.692131537
135	0.692131537
136	0.692131537
137	0.692131537
138	0.692131537
139	0.692131537
140	0.692131537
141	0.692131537
142	0.692131537
143	0.692131537
144	0.692131537
145	0.692131537
146	0.692131537
147	0.692131537
148	0.692131537
149	0.692131537
150	0.692131537
151	0.692131537
152	0.692131537
153	0.692131537
154	0.692131537
155	0.692131537
156	0.692131537
157	0.692131537
158	0.692131537
159	0.692131537
160	0.692131537
161	0.692131537
162	0.692131537
163	0.692131537
164	0.692131537
165	0.692131537
166	0.692131537
167	0.692131537
168	0.692131537
169	0.692131537
170	0.692131537
171	0.692131537
172	0.692131537
173	0.692131537
174	0.692131537
175	0.692131537
176	0.692131537
177	0.692131537
178	0.692131537
179	0.692131537
180	0.692131537
181	0.692131537
182	0.692131537
183	0.692131537
184	0.692131537
185	0.692131537
186	0.692131537
187	0.692131537
188	0.692131537
189	0.692131537
190	0.692131537
191	0.692131537
192	0.692131537
193	0.692131537
194	0.692131537
195	0.692131537
196	0.692131537
197	0.692131537
198	0.692131537
199	0.692131537
200	0.692131537
201	0.692131537
202	0.692131537
203	0.692131537
204	0.692131537
205	0.692131537
206	0.692131537
207	0.692131537
208	0.692131537
209	0.692131537
210	0.692131537
211	0.692131537
212	0.692131537
213	0.692131537
214	0.692131537
215	0.692131537
216	0.692131537
217	0.692131537
218	0.692131537
219	0.692131537
220	0.692131537
221	0.692131537
222	0.692131537
223	0.692131537
224	0.692131537
225	0.692131537
226	0.692131537
227	0.692131537
228	0.692131537
229	0.692131537
230	0.692131537
231	0.692131537
232	0.692131537
233	0.692131537
234	0.692131537
235	0.692131537
236	0.692131537
237	0.692131537
238	0.692131537
239	0.692131537
240	0.692131537
241	0.692131537
242	0.692131537
243	0.692131537
244	0.692131537
245	0.692131537
246	0.692131537
247	0.692131537
248	0.692131537
249	0.692131537
250	0.692131537
251	0.692131537
252	0.692131537
253	0.692131537
254	0.692131537
255	0.692131537
256	0.692131537
257	0.692131537
258	0.692131537
259	0.692131537
260	0.692131537
261	0.692131537
262	0.692131537
263	0.692131537
264	0.692131537
265	0.692131537
266	0.692131537
267	0.692131537
268	0.692131537
269	0.692131537
270	0.692131537
271	0.692131537
272	0.692131537
273	0.692131537
274	0.692131537
275	0.692131537
276	0.692131537
277	0.692131537
278	0.692131537
279	0.692131537
280	0.692131537
281	0.692131537
282	0.692131537
283	0.692131537
284	0.692131537
285	0.692131537
286	0.692131537
287	0.692131537
288	0.692131537
289	0.692131537
290	0.692131537
291	0.692131537
292	0.692131537
293	0.692131537
294	0.692131537
295	0.692131537
296	0.692131537
297	0.692131537
298	0.692131537
299	0.692131537
300	0.692131537
301	0.692131537
302	0.692131537
303	0.692131537
304	0.692131537
305	0.692131537
306	0.692131537
307	0.692131537
308	0.692131537
309	0.692131537
310	0.692131537
311	0.692131537
312	0.692131537
313	0.692131537
314	0.692131537
315	0.692131537
316	0.692131537
317	0.692131537
318	0.692131537
319	0.692131537
320	0.692131537
321	0.692131537
322	0.692131537
323	0.692131537
324	0.692131537
325	0.692131537
326	0.692131537
327	0.692131537
328	0.692131537
329	0.692131537
330	0.692131537
331	0.692131537
332	0.692131537
333	0.692131537
334	0.692131537
335	0.692131537
336	0.692131537
337	0.692131537
338	0.692131537
339	0.692131537
340	0.692131537
341	0.692131537
342	0.692131537
343	0.692131537
344	0.692131537
345	0.692131537
346	0.692131537
347	0.692131537
348	0.692131537
349	0.692131537
350	0.692131537
351	0.692131537
352	0.692131537
353	0.692131537
354	0.692131537
355	0.692131537
356	0.692131537
357	0.692131537
358	0.692131537
359	0.692131537
360	0.692131537
361	0.692131537
362	0.692131537
363	0.692131537
364	0.692131537
365	0.692131537
366	0.692131537
367	0.692131537
368	0.692131537
369	0.692131537
370	0.692131537
371	0.692131537
372	0.692131537
373	0.692131537
374	0.692131537
375	0.692131537
376	0.692131537
377	0.692131537
378	0.692131537
379	0.692131537
380	0.692131537
381	0.692131537
382	0.692131537
383	0.692131537
384	0.692131537
385	0.692131537
386	0.692131537
387	0.692131537
388	0.692131537
389	0.692131537
390	0.692131537
391	0.692131537
392	0.692131537
393	0.692131537
394	0.692131537
395	0.692131537
396	0.692131537
397	0.692131537
398	0.692131537
399	0.692131537
400	0.692131537
401	0.692131537
402	0.692131537
403	0.692131537
404	0.692131537
405	0.692131537
406	0.692131537
407	0.692131537
408	0.692131537
409	0.692131537
410	0.692131537
411	0.692131537
412	0.692131537
413	0.692131537
